City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-06 03:00:00,46.42,91.5,27.33,41.47,64.35,15.38,27.33,24.3,7.42,10.13,25.23,8.0,116.0,Moderate
Ahmedabad,2015-01-06 04:00:00,46.42,91.5,3.05,36.12,34.58,15.38,3.05,19.97,27.38,5.7,12.55,1.33,116.0,Moderate
Ahmedabad,2015-01-06 06:00:00,46.42,91.5,1.37,32.0,28.55,15.38,1.37,17.13,23.42,3.7,4.78,0.0,116.0,Moderate
Ahmedabad,2015-01-06 07:00:00,46.42,91.5,0.28,27.72,24.07,15.38,0.28,17.61,22.71,5.02,5.5,0.63,116.0,Moderate
Ahmedabad,2015-01-06 08:00:00,46.42,91.5,6.42,34.34,38.68,15.38,6.42,18.85,19.5,12.42,9.68,0.0,116.0,Moderate
Ahmedabad,2015-01-06 09:00:00,46.42,91.5,8.07,36.68,44.1,15.38,8.07,46.45,2.21,13.2,9.88,0.67,116.0,Moderate
Ahmedabad,2015-01-06 10:00:00,46.42,91.5,1.43,27.31,26.35,15.38,1.43,171.4,42.29,8.15,15.43,2.22,116.0,Moderate
Ahmedabad,2015-01-06 12:00:00,46.42,91.5,3.07,26.8,27.12,15.38,3.07,41.07,45.25,4.23,12.4,2.02,116.0,Moderate
Ahmedabad,2015-01-06 13:00:00,46.42,91.5,0.07,14.4,12.37,15.38,0.07,17.22,76.58,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-06 14:00:00,46.42,91.5,0.08,19.99,16.92,15.38,0.08,38.59,86.5,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-06 15:00:00,46.42,91.5,7.96,18.54,13.77,15.38,0.8,68.08,102.83,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-06 16:00:00,46.42,91.5,0.03,16.79,13.95,15.38,0.03,72.64,117.5,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-06 17:00:00,46.42,91.5,0.02,16.26,15.1,15.38,0.02,48.97,141.33,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-06 19:00:00,46.42,91.5,24.78,72.02,105.13,15.38,24.78,67.43,27.25,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-06 21:00:00,46.42,91.5,140.65,78.25,226.98,15.38,140.65,65.15,24.71,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-06 22:00:00,46.42,91.5,175.03,69.35,250.95,15.38,175.03,54.27,26.92,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 00:00:00,46.42,91.5,295.9,67.2,368.77,15.38,295.9,44.46,24.88,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 01:00:00,46.42,91.5,330.95,83.92,412.0,15.38,330.95,29.77,14.21,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 02:00:00,46.42,91.5,293.67,77.79,366.3,15.38,293.67,27.28,11.71,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 05:00:00,46.42,91.5,215.33,40.66,248.65,15.38,215.33,21.27,12.29,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 06:00:00,46.42,91.5,141.92,38.87,173.02,15.38,141.92,15.32,11.75,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 08:00:00,46.42,91.5,58.48,50.23,103.03,15.38,58.48,10.17,12.21,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 09:00:00,46.42,91.5,38.02,49.73,83.5,15.38,38.02,13.86,8.58,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 10:00:00,46.42,91.5,7.96,39.17,33.87,15.38,0.8,26.9,10.04,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 11:00:00,46.42,91.5,7.96,30.88,24.92,15.38,0.8,30.47,29.79,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 12:00:00,46.42,91.5,7.96,30.15,24.23,15.38,0.8,30.35,66.04,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 13:00:00,46.42,91.5,7.96,28.33,23.03,15.38,0.8,29.95,97.29,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 15:00:00,46.42,91.5,0.13,16.2,10.27,15.38,0.13,40.55,74.54,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 16:00:00,46.42,91.5,1.32,19.24,16.8,15.38,1.32,34.8,66.54,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 18:00:00,46.42,91.5,0.37,21.12,19.3,15.38,0.37,38.14,61.62,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 19:00:00,46.42,91.5,0.25,33.75,34.25,15.38,0.25,60.32,37.0,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 20:00:00,46.42,91.5,22.37,40.85,66.73,15.38,22.37,60.12,17.92,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 21:00:00,46.42,91.5,39.8,37.57,80.62,15.38,39.8,64.65,17.83,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 22:00:00,46.42,91.5,82.25,37.0,121.82,15.38,82.25,42.61,17.21,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-07 23:00:00,46.42,91.5,127.88,37.33,168.43,15.38,127.88,36.66,18.42,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 01:00:00,46.42,91.5,171.95,39.7,210.78,15.38,171.95,33.88,11.67,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 02:00:00,46.42,91.5,103.08,35.43,135.6,15.38,103.08,18.23,9.29,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 03:00:00,46.42,91.5,74.2,33.0,104.68,15.38,74.2,25.63,8.58,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 04:00:00,46.42,91.5,14.52,32.86,44.87,15.38,14.52,17.75,5.62,0.0,0.0,0.0,116.0,Moderate
